code,name,strategy,annual_return,max_drawdown,sharpe_ratio,win_rate,trade_count
300750,宁德时代,B,24.87,-55.44,0.691,47.19,124
300750,宁德时代,C,19.61,-41.17,0.687,47.19,66
002415,海康威视,A,4.01,-36.3,0.141,48.89,22
002415,海康威视,B,3.79,-53.75,0.163,48.89,118
002415,海康威视,C,-0.75,-46.17,-0.093,49.27,76
002475,立讯精密,A,5.88,-41.58,0.233,46.24,27
002475,立讯精密,B,7.09,-57.73,0.291,46.49,118
002475,立讯精密,C,10.97,-37.59,0.402,46.81,72
300274,阳光电源,A,30.17,-40.94,0.838,49.59,36
300274,阳光电源,B,43.15,-60.35,0.876,49.34,112
300274,阳光电源,C,23.0,-52.39,0.681,49.53,71
688981,中芯国际,A,13.79,-35.52,0.489,48.8,30
688981,中芯国际,B,9.5,-46.13,0.344,48.52,102
688981,中芯国际,C,6.02,-39.21,0.238,48.73,78
000651,格力电器,A,2.14,-32.48,0.005,47.32,21
000651,格力电器,B,-0.48,-49.26,-0.063,47.19,122
000651,格力电器,C,2.94,-26.99,0.074,47.63,82
600585,海螺水泥,A,-4.62,-37.36,-0.397,44.22,17
600585,海螺水泥,B,-10.32,-55.89,-0.474,44.22,107
600585,海螺水泥,C,-4.46,-40.4,-0.339,44.47,100
601857,中国石油,A,9.04,-17.47,0.424,46.75,26
601857,中国石油,B,13.78,-26.87,0.516,46.62,112
601857,中国石油,C,6.88,-22.6,0.305,46.75,72
688111,金山办公,A,10.04,-46.25,0.36,46.62,35
688111,金山办公,B,6.67,-63.56,0.309,46.37,107
688111,金山办公,C,8.87,-46.19,0.33,46.56,85
603019,中科曙光,A,24.4,-32.55,0.804,48.45,34
603019,中科曙光,B,20.41,-53.16,0.582,48.39,126
603019,中科曙光,C,15.29,-39.94,0.536,48.7,82
