date,open,high,low,close,volume
2020-01-02,5.75277012,5.94730824,5.4887541,5.50959747,194303790
2020-01-03,5.59991874,5.6277099,5.37064167,5.53044084,132658551
2020-01-06,5.558232,5.66244885,5.43317178,5.4887541,99022431
2020-01-07,5.4192762,5.47485852,5.23863366,5.30116377,126642411
2020-01-08,5.4192762,5.4192762,5.21779029,5.21779029,86487117
2020-01-09,5.22473808,5.3497983,5.18999913,5.2803204,76647865
2020-01-10,5.31505935,5.34285051,5.12052123,5.1413646,79224408
2020-01-13,5.03019996,5.11357344,4.96072206,5.07883449,97279219
2020-01-14,5.09967786,5.1413646,5.00935659,5.03714775,84302801
2020-01-15,5.00935659,5.03019996,4.89124416,4.96072206,83327015
2020-01-16,4.94682648,5.1413646,4.89819195,4.90513974,99497403
2020-01-17,4.90513974,4.98156543,4.7939751,4.80092289,84985240
2020-01-20,4.82871405,5.05799112,4.80787068,5.02325217,86606045
2020-01-21,4.98851322,5.04409554,4.71060162,4.73144499,102196489
2020-01-22,4.6550193,4.7939751,4.63417593,4.73839278,62307141
2020-01-23,4.6550193,4.69670604,4.32847317,4.38405549,116588880
2020-02-03,3.94634472,3.94634472,3.94634472,3.94634472,5611300
2020-02-04,3.55032069,3.6823287,3.55032069,3.63369417,227037622
2020-02-05,3.58505964,3.83518008,3.55032069,3.78654555,156083426
2020-02-06,3.78654555,3.86991903,3.72401544,3.80044113,102703777
2020-02-07,3.71011986,3.81433671,3.66843312,3.75875439,86245377
2020-02-10,3.72401544,3.91160577,3.71706765,3.86991903,94679833
2020-02-11,3.86297124,3.96718809,3.81433671,3.84907566,95013471
2020-02-12,3.86297124,3.90465798,3.80044113,3.90465798,75103109
2020-02-13,3.8907624,3.93244914,3.75875439,3.77264997,71168884
2020-02-14,3.78654555,3.86297124,3.7518066,3.78654555,56500449
2020-02-17,3.75875439,3.93244914,3.75875439,3.92550135,75998319
2020-02-18,3.95329251,4.08530052,3.91160577,4.01582262,91232585
2020-02-19,3.99497925,3.99497925,3.91855356,3.92550135,58056481
2020-02-20,3.93244914,4.09224831,3.93244914,4.09224831,87734810
2020-02-21,4.07140494,4.10614389,3.99497925,4.04361378,78856493
2020-02-24,3.9602403,3.9602403,3.7518066,3.81433671,135427392
2020-02-25,3.70317207,3.77959776,3.64758975,3.76570218,106280554
2020-02-26,3.69622428,3.81433671,3.67538091,3.75875439,75637288
2020-02-27,3.78654555,3.79349334,3.6823287,3.70317207,80463195
2020-02-28,3.64758975,3.65453754,3.49473837,3.51558174,96251334
2020-03-02,3.5433729,3.80738892,3.5433729,3.77264997,98765266
2020-03-03,3.83518008,3.91855356,3.71706765,3.7518066,90075333
2020-03-04,3.70317207,3.86991903,3.6823287,3.83518008,84199050
2020-03-05,3.86991903,4.00887483,3.81433671,3.9602403,101624882
2020-03-06,3.87686682,3.93244914,3.84212787,3.85602345,67440708
2020-03-09,4.24509969,4.24509969,4.0991961,4.24509969,203953788
2020-03-10,4.39795107,4.6550193,4.21036074,4.25204748,315374688
2020-03-11,4.4465856,4.67586267,4.3771077,4.67586267,253654487
2020-03-12,4.5855414,5.05799112,4.4465856,4.7939751,307722592
2020-03-13,4.59248919,5.02325217,4.59248919,4.63417593,237135799
2020-03-16,4.7244972,4.81481847,4.43269002,4.46048118,150355770
2020-03-17,4.5160635,4.71060162,4.33542096,4.66196709,139282931
2020-03-18,4.66891488,4.85650521,4.50911571,4.69670604,153468900
2020-03-19,4.68975825,4.7939751,4.25899527,4.40489886,159310544
2020-03-20,4.3771077,4.49522013,4.21036074,4.23120411,132427724
2020-03-23,4.08530052,4.13393505,3.80738892,3.80738892,120615693
2020-03-24,3.86297124,3.86297124,3.58505964,3.72401544,133658170
2020-03-25,3.80738892,3.80738892,3.71011986,3.77959776,99526076
2020-03-26,3.80738892,4.0297182,3.76570218,3.85602345,126230167
2020-03-27,3.9602403,4.00887483,3.82823229,3.86297124,86708750
2020-03-30,3.97413588,4.05750936,3.89771019,4.03666599,114899720
2020-03-31,4.168674,4.43963781,4.07140494,4.43963781,180115914
2020-04-01,4.34931654,4.45353339,4.25204748,4.37015991,115545732
2020-04-02,4.37015991,4.54385466,4.30068201,4.45353339,139269342
2020-04-03,4.48827234,4.68975825,4.39795107,4.42574223,161852235
2020-04-07,4.5160635,4.863453,4.46742897,4.78702731,167944263
2020-04-08,4.69670604,5.05799112,4.68975825,4.9329309,162337887
2020-04-09,4.863453,4.89124416,4.68975825,4.74534057,101695961
2020-04-10,4.87734858,4.94682648,4.61333256,4.68975825,116519641
2020-04-13,4.59248919,4.75923615,4.49522013,4.60638477,84239231
2020-04-14,4.61333256,4.70365383,4.53690687,4.62722814,64334421
2020-04-15,4.71754941,4.7244972,4.61333256,4.61333256,64511039
2020-04-16,4.59943698,4.66891488,4.52995908,4.57164582,59721735
2020-04-17,4.57164582,4.62028035,4.46048118,4.46048118,62420947
2020-04-20,4.50216792,4.84260963,4.49522013,4.78702731,101203371
2020-04-21,5.03019996,5.16915576,4.7939751,4.93987869,130584546
2020-04-22,5.14831239,5.14831239,4.81481847,4.87040079,112147037
2020-04-23,4.83566184,5.3497983,4.81481847,5.29421598,195389802
2020-04-24,5.17610355,5.18999913,4.97461764,5.0024088,122248177
2020-04-27,5.00935659,5.05799112,4.83566184,5.02325217,61233806
2020-04-28,5.12052123,5.18305134,4.94682648,5.06493891,77975533
2020-04-29,5.03714775,5.05799112,4.87734858,4.91903532,62030466
2020-04-30,4.78007952,4.82871405,4.57164582,4.71060162,110200751
2020-05-06,4.39795107,4.64112372,4.37015991,4.5855414,110463109
2020-05-07,4.53690687,4.68281046,4.46048118,4.50216792,97678541
2020-05-08,4.56469803,4.57859361,4.43269002,4.47437676,84000358
2020-05-11,4.47437676,4.62028035,4.4465856,4.55775024,95498590
2020-05-12,4.55775024,4.61333256,4.3771077,4.41879444,88370370
2020-05-13,4.41879444,4.50216792,4.35626433,4.46048118,56529891
2020-05-14,4.43269002,4.43963781,4.27289085,4.28678643,82959923
2020-05-15,4.27983864,4.33542096,4.21730853,4.26594306,61050307
2020-05-18,4.25899527,4.29373422,4.18256958,4.2381519,49940874
2020-05-19,4.26594306,4.29373422,4.20341295,4.2381519,51270071
2020-05-20,4.20341295,4.25204748,4.12003947,4.15477842,62842134
2020-05-21,4.15477842,4.18951737,4.06445715,4.08530052,49756161
2020-05-22,4.05056157,4.18951737,4.05056157,4.13393505,60427964
2020-05-25,4.07835273,4.11309168,3.93939693,3.96718809,51803547
2020-05-26,3.98108367,4.05056157,3.95329251,4.04361378,39013659
2020-05-27,4.0297182,4.0297182,3.91855356,3.9602403,35612903
2020-05-28,4.0297182,4.20341295,4.0297182,4.08530052,81886297
2020-05-29,4.04361378,4.11309168,3.97413588,4.11309168,44573110
2020-06-01,4.09224831,4.20341295,4.08530052,4.168674,59455889
2020-06-02,4.168674,4.20341295,4.12003947,4.16172621,43005410
2020-06-03,4.168674,4.17562179,4.08530052,4.0991961,42878918
2020-06-04,4.12698726,4.14783063,3.99497925,4.0297182,44300585
2020-06-05,4.0297182,4.08530052,4.00192704,4.06445715,31721101
2020-06-08,4.08530052,4.12698726,4.05056157,4.07140494,33452662
2020-06-09,4.11309168,4.30068201,4.0991961,4.25899527,95865891
2020-06-10,4.21730853,4.23120411,4.168674,4.22425632,45697839
2020-06-11,4.20341295,4.21036074,4.10614389,4.12003947,53418516
2020-06-12,4.0297182,4.12698726,4.01582262,4.07835273,57335097
2020-06-15,4.05750936,4.05750936,3.9602403,3.96718809,57208048
2020-06-16,3.99497925,4.01582262,3.9602403,4.00192704,42264873
2020-06-17,3.98108367,4.01582262,3.93244914,4.00887483,40020789
