date,open,high,low,close,volume
2020-01-02,4.66027749,4.72673421,4.6519704,4.68519876,47080324
2020-01-03,4.70181294,4.72673421,4.66858458,4.68519876,28408956
2020-01-06,4.66858458,4.71012003,4.6519704,4.69350585,39020143
2020-01-07,4.69350585,4.72673421,4.67689167,4.72673421,41602527
2020-01-08,4.71012003,4.72673421,4.61874204,4.64366331,41327482
2020-01-09,4.66027749,4.69350585,4.64366331,4.66858458,25346910
2020-01-10,4.66858458,4.67689167,4.62704913,4.64366331,16454165
2020-01-13,4.63535622,4.66027749,4.61043495,4.66027749,16022295
2020-01-14,4.66858458,4.71012003,4.66027749,4.70181294,28728716
2020-01-15,4.70181294,4.71012003,4.63535622,4.6519704,19813276
2020-01-16,4.6519704,4.66027749,4.58551368,4.60212786,25047964
2020-01-17,4.61043495,4.62704913,4.57720659,4.58551368,17237342
2020-01-20,4.59382077,4.60212786,4.5688995,4.59382077,14261840
2020-01-21,4.58551368,4.59382077,4.50244278,4.52736405,28838827
2020-01-22,4.51905696,4.60212786,4.47752151,4.5688995,28629451
2020-01-23,4.54397823,4.58551368,4.4858286,4.49413569,27433052
2020-02-03,4.04555283,4.11200955,4.04555283,4.04555283,36994591
2020-02-04,3.89602521,4.22830881,3.89602521,4.04555283,36400000
2020-02-05,4.0704741,4.12862373,4.01232447,4.05385992,28509687
2020-02-06,4.07878119,4.09539537,4.02893865,4.08708828,23186611
2020-02-07,4.07878119,4.12862373,4.03724574,4.11200955,29898577
2020-02-10,4.07878119,4.11200955,4.0704741,4.10370246,27765669
2020-02-11,4.09539537,4.153545,4.0704741,4.09539537,34695963
2020-02-12,4.09539537,4.11200955,4.04555283,4.10370246,38208546
2020-02-13,4.08708828,4.10370246,4.02893865,4.02893865,34588699
2020-02-14,4.02893865,4.02893865,3.9874032,4.02063156,28841187
2020-02-17,4.01232447,4.09539537,3.99571029,4.09539537,36442661
2020-02-18,4.08708828,4.14523791,4.07878119,4.10370246,33538709
2020-02-19,4.08708828,4.10370246,4.0704741,4.07878119,28242060
2020-02-20,4.08708828,4.14523791,4.0704741,4.14523791,39160679
2020-02-21,4.13693082,4.19508045,4.12031664,4.153545,36944203
2020-02-24,4.14523791,4.14523791,4.0704741,4.09539537,36699463
2020-02-25,4.03724574,4.05385992,3.99571029,4.03724574,31904675
2020-02-26,4.00401738,4.10370246,3.9874032,4.0704741,37149048
2020-02-27,4.0704741,4.09539537,4.05385992,4.06216701,24090973
2020-02-28,4.02063156,4.02893865,3.9043323,3.9043323,49895545
2020-03-02,3.9043323,4.01232447,3.9043323,3.99571029,26689092
2020-03-03,4.02063156,4.05385992,4.00401738,4.01232447,24123596
2020-03-04,4.00401738,4.0704741,3.9874032,4.06216701,25302823
2020-03-05,4.07878119,4.12031664,4.0704741,4.11200955,36208749
2020-03-06,4.07878119,4.09539537,4.04555283,4.06216701,27812248
2020-03-09,4.01232447,4.02063156,3.94586775,3.96248193,34576786
2020-03-10,3.92094648,4.01232447,3.91263939,4.01232447,25936986
2020-03-11,3.99571029,4.05385992,3.99571029,4.02893865,23426425
2020-03-12,3.9874032,4.00401738,3.93756066,3.95417484,19991487
2020-03-13,3.84618267,3.91263939,3.80464722,3.88771812,25524143
2020-03-16,3.88771812,3.94586775,3.85448976,3.86279685,26630654
2020-03-17,3.86279685,3.9043323,3.78803304,3.81295431,25307000
2020-03-18,3.82956849,3.84618267,3.71326923,3.71326923,33945527
2020-03-19,3.69665505,3.70496214,3.54712743,3.58866288,30603151
2020-03-20,3.61358415,3.6551196,3.58035579,3.63019833,19833738
2020-03-23,3.58866288,3.74649759,3.5720487,3.70496214,32998416
2020-03-24,3.7381905,3.83787558,3.72988341,3.82956849,27398464
2020-03-25,3.88771812,3.88771812,3.81295431,3.83787558,19190827
2020-03-26,3.81295431,3.8212614,3.77141886,3.78803304,14060250
2020-03-27,3.81295431,3.85448976,3.77141886,3.81295431,16613386
2020-03-30,3.77972595,3.89602521,3.76311177,3.88771812,28457513
2020-03-31,3.88771812,3.94586775,3.86279685,3.89602521,22953278
2020-04-01,3.8212614,3.88771812,3.70496214,3.71326923,33129969
2020-04-02,3.69665505,3.70496214,3.62189124,3.68004087,25033917
2020-04-03,3.67173378,3.67173378,3.58866288,3.59696997,19160288
2020-04-07,3.63019833,3.64681251,3.60527706,3.63019833,30968206
2020-04-08,3.60527706,3.63019833,3.58035579,3.62189124,24362904
2020-04-09,3.62189124,3.66342669,3.61358415,3.63850542,19651331
2020-04-10,3.64681251,3.64681251,3.58035579,3.60527706,13972461
2020-04-13,3.58866288,3.59696997,3.53051325,3.54712743,20344701
2020-04-14,3.55543452,3.58035579,3.53882034,3.58035579,15501542
2020-04-15,3.5720487,3.58035579,3.50559198,3.51389907,25471844
2020-04-16,3.49728489,3.58866288,3.48067071,3.5720487,26231991
2020-04-17,3.55543452,3.5720487,3.53051325,3.53051325,15704588
2020-04-20,3.53882034,3.54712743,3.49728489,3.50559198,16966681
2020-04-21,3.49728489,3.51389907,3.45574944,3.4889778,17328566
2020-04-22,3.48067071,3.51389907,3.45574944,3.4889778,20670265
2020-04-23,3.48067071,3.53882034,3.47236362,3.50559198,28816576
2020-04-24,3.50559198,3.51389907,3.45574944,3.47236362,18050859
2020-04-27,3.45574944,3.50559198,3.45574944,3.4889778,15340427
2020-04-28,3.4889778,3.50559198,3.37267854,3.43082817,27847428
2020-04-29,3.41421399,3.45574944,3.39759981,3.43913526,12647760
2020-04-30,3.46405653,3.52220616,3.46405653,3.50559198,17267414
2020-05-06,3.45574944,3.51389907,3.44744235,3.50559198,21073404
2020-05-07,3.50559198,3.6551196,3.49728489,3.60527706,42658747
2020-05-08,3.58035579,3.60527706,3.5720487,3.58035579,21723028
2020-05-11,3.5720487,3.62189124,3.56374161,3.58866288,23219966
2020-05-12,3.58035579,3.59696997,3.53051325,3.56374161,17465882
2020-05-13,3.56374161,3.67173378,3.55543452,3.6551196,30728731
2020-05-14,3.6551196,3.72157632,3.59696997,3.60527706,21343968
2020-05-15,3.62189124,3.67173378,3.59696997,3.62189124,21591287
