date,open,high,low,close,volume
2020-01-02,5.70556345,5.76860835,5.66143202,5.68664998,25009905
2020-01-03,5.66143202,5.72447692,5.63621406,5.674041,19774615
2020-01-06,5.69925896,5.8631757,5.674041,5.81904427,41410973
2020-01-07,5.75599937,5.95774305,5.75599937,5.90100264,47136843
2020-01-08,5.90100264,5.9262206,5.63621406,5.68034549,47923296
2020-01-09,5.71186794,5.7370859,5.65512753,5.69295447,31848828
2020-01-10,5.69295447,5.69925896,5.62360508,5.66773651,18891302
2020-01-13,5.66773651,5.71186794,5.58577814,5.68664998,22622238
2020-01-14,5.68034549,5.74339039,5.62360508,5.64882304,21729681
2020-01-15,5.64882304,5.65512753,5.56056018,5.57947365,19972425
2020-01-16,5.60469161,5.66773651,5.45338385,5.47229732,28024596
2020-01-17,5.50381977,5.57947365,5.4218614,5.47860181,27400547
2020-01-20,5.47860181,5.5479512,5.41555691,5.50381977,28113238
2020-01-21,5.49121079,5.49121079,5.33990303,5.36512099,27159626
2020-01-22,5.33990303,5.45968834,5.27685813,5.43447038,24909063
2020-01-23,5.40925242,5.41555691,5.26424915,5.28946711,33067531
2020-02-03,4.76619444,5.08141894,4.75988995,5.043592,79906052
2020-02-04,4.97424261,5.2327267,4.9175022,4.99315608,51642289
2020-02-05,5.00576506,5.03728751,4.9175022,4.94902465,35941202
2020-02-06,4.96793812,4.9805471,4.86706628,4.96163363,29896353
2020-02-07,4.92380669,4.9805471,4.87337077,4.95532914,29834542
2020-02-10,4.93011118,5.05620098,4.88597975,5.00576506,39138520
2020-02-11,5.03728751,5.18859527,5.01837404,5.13185486,40916494
2020-02-12,5.13185486,5.18859527,5.07511445,5.15707282,25612385
2020-02-13,5.13185486,5.17598629,5.1066369,5.13185486,21603226
2020-02-14,5.12555037,5.15076833,5.03728751,5.15076833,16436820
2020-02-17,5.12555037,5.18229078,5.11924588,5.17598629,38300013
2020-02-18,5.1696818,5.1696818,5.08772343,5.1066369,26912127
2020-02-19,5.10033241,5.12555037,5.06880996,5.07511445,19219476
2020-02-20,5.06250547,5.13815935,5.03098302,5.13185486,32291679
2020-02-21,5.1066369,5.12555037,5.07511445,5.09402792,18915468
2020-02-24,5.06880996,5.10033241,5.03098302,5.07511445,27063061
2020-02-25,5.01206955,5.043592,4.93011118,4.95532914,31221005
2020-02-26,4.9175022,5.06880996,4.88597975,5.01837404,35361859
2020-02-27,5.06880996,5.21381323,5.06250547,5.1066369,43004748
2020-02-28,4.99946057,5.06250547,4.93011118,4.9805471,33412378
2020-03-02,4.99946057,5.18859527,4.99315608,5.13815935,36100758
2020-03-03,5.19489976,5.22642221,5.08141894,5.11924588,35402474
2020-03-04,5.10033241,5.19489976,5.06250547,5.17598629,33496346
2020-03-05,5.19489976,5.28316262,5.1696818,5.22011772,35656804
2020-03-06,5.16337731,5.18229078,5.09402792,5.11924588,22639598
2020-03-09,5.00576506,5.00576506,4.92380669,4.92380669,41439963
2020-03-10,4.8544573,5.043592,4.84815281,5.00576506,29171926
2020-03-11,5.00576506,5.02467853,4.90489322,4.93641567,28027615
2020-03-12,4.88597975,4.9175022,4.82293485,4.8544573,30384421
2020-03-13,4.65271362,4.88597975,4.60858219,4.76619444,25956721
2020-03-16,4.75988995,4.7914124,4.62749566,4.63380015,23622319
2020-03-17,4.67162709,4.71575852,4.5392328,4.58966872,22066861
2020-03-18,4.62119117,4.63380015,4.46988341,4.49510137,19640051
2020-03-19,4.45727443,4.4761879,4.23031279,4.31227116,30708731
2020-03-20,4.36901157,4.413143,4.33118463,4.38162055,19919747
2020-03-23,4.30596667,4.42575198,4.27444422,4.36901157,22582741
2020-03-24,4.45727443,4.55184178,4.42575198,4.54553729,19572417
2020-03-25,4.64010464,4.64010464,4.54553729,4.62119117,15532664
2020-03-26,4.61488668,4.62119117,4.5392328,4.57075525,11736926
2020-03-27,4.6022777,4.62749566,4.55184178,4.59597321,10138610
2020-03-30,4.55814627,4.74097648,4.54553729,4.64640913,16428468
2020-03-31,4.67162709,4.81032587,4.65901811,4.71575852,23053426
2020-04-01,4.74097648,4.82293485,4.71575852,4.7283675,21545709
2020-04-02,4.74728097,4.82293485,4.72206301,4.81663036,15914741
2020-04-03,4.84815281,4.84815281,4.70945403,4.7283675,17654048
2020-04-07,4.78510791,4.79771689,4.70945403,4.74097648,22540514
2020-04-08,4.73467199,4.76619444,4.68423607,4.74728097,10142402
2020-04-09,4.75358546,4.75358546,4.70314954,4.70945403,5779704
2020-04-10,4.69684505,4.72206301,4.65901811,4.6653226,6917117
2020-04-13,4.65271362,4.70314954,4.63380015,4.65901811,6995853
2020-04-14,4.67162709,4.80402138,4.6653226,4.79771689,15100883
2020-04-15,4.81032587,4.81032587,4.70314954,4.70945403,6768543
2020-04-16,4.74097648,4.76619444,4.69684505,4.71575852,7672840
2020-04-17,4.7283675,4.7914124,4.71575852,4.75988995,9698741
2020-04-20,4.75988995,4.7914124,4.72206301,4.73467199,10213894
2020-04-21,4.7283675,4.7283675,4.58336423,4.58966872,17923325
2020-04-22,4.58336423,4.58966872,4.46357892,4.4761879,33635184
2020-04-23,4.49510137,4.51401484,4.44466545,4.46357892,16230509
2020-04-24,4.48249239,4.55184178,4.46357892,4.54553729,24546808
2020-04-27,4.49510137,4.70314954,4.49510137,4.62119117,17893438
2020-04-28,4.67162709,4.69684505,4.58966872,4.65271362,17504605
2020-04-29,4.67162709,4.70314954,4.57705974,4.64010464,13148082
2020-04-30,4.65271362,4.7914124,4.6022777,4.75358546,30435559
2020-05-06,4.6653226,4.7283675,4.5392328,4.61488668,39608415
2020-05-07,4.6022777,4.60858219,4.50140586,4.55814627,20447447
2020-05-08,4.54553729,4.64010464,4.5392328,4.62749566,16215900
2020-05-11,4.62749566,4.7283675,4.62749566,4.68423607,17858643
2020-05-12,4.71575852,4.7283675,4.63380015,4.67162709,14061026
2020-05-13,4.67162709,4.67162709,4.54553729,4.58336423,15199745
2020-05-14,4.57075525,4.57075525,4.53292831,4.5392328,11179383
2020-05-15,4.5392328,4.57075525,4.53292831,4.54553729,8018082
2020-05-18,4.56445076,4.62119117,4.53292831,4.54553729,22638174
2020-05-19,4.61488668,4.69054056,4.58336423,4.63380015,31715469
2020-05-20,4.6653226,4.75988995,4.58336423,4.65901811,38033669
2020-05-21,4.65901811,4.71575852,4.62749566,4.63380015,19977933
2020-05-22,4.64640913,4.65901811,4.52031933,4.52662382,21101324
2020-05-25,4.52662382,4.62119117,4.50140586,4.61488668,21315378
2020-05-26,4.62749566,4.62749566,4.5392328,4.56445076,18341576
2020-05-27,4.55184178,4.6022777,4.52031933,4.57075525,15938957
2020-05-28,4.57705974,4.60858219,4.53292831,4.54553729,12455272
2020-05-29,4.55814627,4.55814627,4.48249239,4.52031933,20536467
2020-06-01,4.50771035,4.58966872,4.50140586,4.57075525,27524634
2020-06-02,4.57075525,4.57705974,4.52031933,4.55184178,22833916
2020-06-03,4.56445076,4.62119117,4.5392328,4.56445076,29431900
2020-06-04,4.58336423,4.58966872,4.50140586,4.51401484,22023370
2020-06-05,4.51401484,4.52662382,4.4761879,4.49510137,17627027
2020-06-08,4.51401484,4.5392328,4.48879688,4.50771035,25553993
2020-06-09,4.50771035,4.53292831,4.48879688,4.52662382,22361567
2020-06-10,4.52031933,4.52662382,4.46988341,4.46988341,25129723
2020-06-11,4.48879688,4.48879688,4.44466545,4.45096994,22478677
2020-06-12,4.40683851,4.43836096,4.38792504,4.43836096,22986607
2020-06-15,4.41944749,4.43205647,4.36901157,4.36901157,25099591
2020-06-16,4.38792504,4.43836096,4.36901157,4.42575198,22255258
2020-06-17,4.41944749,4.46988341,4.41944749,4.44466545,23736760
2020-06-18,4.45096994,4.62119117,4.42575198,4.57075525,58366850
2020-06-19,4.57075525,4.62119117,4.55814627,4.59597321,38856119
2020-06-22,4.6022777,4.62119117,4.5392328,4.55814627,22400272
2020-06-23,4.55814627,4.56445076,4.48879688,4.50140586,17129729
2020-06-24,4.5392328,4.58966872,4.49510137,4.57705974,21362226
2020-06-29,4.55184178,4.55184178,4.50140586,4.51401484,15980096
2020-06-30,4.5392328,4.57075525,4.50771035,4.54553729,15977271
2020-07-01,4.56445076,4.61488668,4.5392328,4.60858219,26000886
2020-07-02,4.61488668,4.91119771,4.60858219,4.87967526,88388639
2020-07-03,4.91119771,5.1696818,4.87967526,5.03728751,80096868
2020-07-06,5.16337731,5.37142548,5.15076833,5.32729405,82730957
2020-07-07,5.4849063,5.52903773,5.1696818,5.1696818,71529465
2020-07-08,5.13815935,5.30838058,5.12555037,5.27685813,56462023
2020-07-09,5.27055364,5.51642875,5.16337731,5.4218614,89746771
2020-07-10,5.40871485,5.40871485,5.1524088,5.17212465,63139589
2020-07-13,5.1655527,5.27727585,5.10640515,5.22470025,50811482
2020-07-14,5.2181283,5.3495673,5.13269295,5.3101356,55578006
2020-07-15,5.3232795,5.3364234,5.1129771,5.11954905,58272578
2020-07-16,5.1392649,5.22470025,4.98811005,5.01439785,52709138
2020-07-17,5.0209698,5.10640515,4.92239055,4.96182225,32370169
2020-07-20,4.97496615,5.22470025,4.97496615,5.17212465,49328710
2020-07-21,5.2707039,5.3758551,5.1918405,5.25756,71747763
2020-07-22,5.25756,5.32985145,5.1918405,5.21155635,42041067
2020-07-23,5.1918405,5.27727585,5.0998332,5.26413195,39202237
2020-07-24,5.29041975,5.40871485,5.126121,5.2181283,62351338
2020-07-27,5.25098805,5.30356365,5.14583685,5.2838478,34656398
2020-07-28,5.3232795,5.4284307,5.19841245,5.3101356,41973357
2020-07-29,5.26413195,5.3101356,5.17212465,5.30356365,33650702
2020-07-30,5.3232795,5.34299535,5.2444161,5.29041975,23782081
2020-07-31,5.2969917,5.3495673,5.2444161,5.31670755,36739287
2020-08-03,5.30356365,5.34299535,5.26413195,5.3232795,47288595
2020-08-04,5.3364234,5.35613925,5.23784415,5.25098805,42740109
2020-08-05,5.2312722,5.25098805,5.1129771,5.14583685,50895074
2020-08-06,5.1786966,5.1918405,5.0998332,5.14583685,34689458
2020-08-07,5.13269295,5.1655527,5.05382955,5.0604015,31411021
2020-08-10,5.0735454,5.13269295,4.994682,5.10640515,32309637
2020-08-11,5.1129771,5.1524088,5.04068565,5.0866893,35967198
2020-08-12,5.0604015,5.0735454,4.98811005,5.0341137,30856340
2020-08-13,5.0604015,5.15898075,5.05382955,5.0735454,29110896
2020-08-14,5.08011735,5.126121,5.01439785,5.1129771,27851072
2020-08-17,5.13269295,5.29041975,5.09326125,5.25098805,58427941
2020-08-18,5.25756,5.35613925,5.23784415,5.2707039,49224726
2020-08-19,5.2444161,5.3232795,5.2049844,5.26413195,37337507
2020-08-20,5.25098805,5.34299535,5.13269295,5.15898075,47443768
2020-08-21,5.2049844,5.2312722,5.1392649,5.2049844,36609069
2020-08-24,5.2181283,5.29041975,5.1918405,5.21155635,27516599
2020-08-25,5.21155635,5.22470025,5.0604015,5.0998332,41231027
2020-08-26,5.10640515,5.18526855,5.0998332,5.126121,34467092
2020-08-27,5.1786966,5.34299535,5.17212465,5.2444161,51410208
2020-08-28,5.25098805,5.3758551,5.21155635,5.3758551,62068548
2020-08-31,5.4021429,5.46129045,5.31670755,5.34299535,57477382
2020-09-01,5.3495673,5.388999,5.30356365,5.3627112,24104105
2020-09-02,5.3627112,5.3758551,5.29041975,5.3101356,28217845
2020-09-03,5.34299535,5.4152868,5.2969917,5.3101356,31529094
2020-09-04,5.25756,5.32985145,5.2312722,5.3232795,22379506
2020-09-07,5.3232795,5.35613925,5.25756,5.25756,28193593
2020-09-08,5.2707039,5.59272945,5.26413195,5.54015385,86091690
2020-09-09,5.48757825,5.6255892,5.42185875,5.4284307,58013663
2020-09-10,5.4941502,5.72416845,5.47443435,5.6255892,84733100
2020-09-11,5.56644165,5.7438843,5.4941502,5.6255892,56733553
2020-09-14,5.60587335,5.7044526,5.520438,5.56644165,39821723
2020-09-15,5.5598697,5.60587335,5.48757825,5.5598697,23524282
2020-09-16,5.5598697,5.7044526,5.5072941,5.6387331,33992662
2020-09-17,5.6124453,5.7044526,5.54015385,5.56644165,38232154
2020-09-18,5.59272945,6.0199062,5.59272945,5.9673306,99774770
2020-09-21,5.9936184,6.03962205,5.8227477,5.86875135,73871898
2020-09-22,5.84246355,5.84246355,5.6124453,5.6387331,66831563
2020-09-23,5.68473675,5.7438843,5.6255892,5.68473675,40096313
2020-09-24,5.59272945,5.69788065,5.55329775,5.60587335,37026683
2020-09-25,5.6650209,5.7570282,5.651877,5.68473675,43727918
2020-09-28,5.783316,5.85560745,5.7044526,5.73731235,42670259
2020-09-29,5.73731235,5.7701721,5.65844895,5.67159285,32313371
2020-09-30,5.65844895,5.6781648,5.4941502,5.51386605,38768676
2020-10-09,5.69788065,5.97390255,5.6913087,5.8490355,88928119
2020-10-12,5.9278989,5.9541867,5.82931965,5.90818305,53923315
2020-10-13,5.94761475,6.10534155,5.9016111,6.0856257,59651815
2020-10-14,6.0330501,6.03962205,5.94761475,5.9936184,37608701
2020-10-15,6.0199062,6.2170647,5.9673306,5.98704645,62596069
2020-10-16,6.03962205,6.1907769,5.9541867,6.14477325,61116576
2020-10-19,6.1644891,6.2433525,6.0067623,6.0199062,45267714
2020-10-20,6.00019035,6.09219765,5.9541867,6.02647815,28062191
2020-10-21,6.0199062,6.0199062,5.914755,5.9673306,26201665
2020-10-22,5.94761475,6.00019035,5.85560745,5.92132695,35791529
2020-10-23,5.914755,5.9410428,5.84246355,5.8621794,26142774
2020-10-26,5.8358916,5.86875135,5.71102455,5.85560745,29452089
2020-10-27,5.80303185,5.8490355,5.7701721,5.8227477,19798401
2020-10-28,5.82931965,5.8753233,5.75045625,5.8621794,28655537
2020-10-29,5.76360015,5.80303185,5.71102455,5.77674405,29328485
2020-10-30,5.78988795,5.90818305,5.7175965,5.75045625,31426370
